,artist,date,venue,city,year,setlist,venue_alt,city_alt,tour_name,start,end,url,venue_capacity,avg_price,country
0,The Rolling Stones,1962-07-12,Marquee Club,London,1962,"['Kansas City', ""Baby, What's Wrong"", ""Confessin' the Blues"", 'Bright Lights, Big City', ""I Believe I'll Dust My Broom"", 'Down the Road Apiece', 'Mad Love (I Want You to Love Me)', 'Bad Boy', ""I Ain't Got You"", 'Hush Hush', ""Ride 'Em on Down"", 'Back in the U.S.A.', 'Kind of Lonesome', 'Blues Before Sunrise', 'Big Boss Man', ""Don't Stay Out All Night"", 'Tell Me That You Love Me', 'Happy Home', 'Doing the Crawdaddy', ""Got My Mo-Jo Working (But It Just Won't Work on You)""]",Marquee Club,"London, England",,,,https://www.setlist.fm/setlist/the-rolling-stones/1962/marquee-club-london-england-3d6bd6f.html,700.0,3.5,United Kingdom
1,The Rolling Stones,1962-07-28,Ealing Jazz Club,London,1962,,,,,,,,,3.5,United Kingdom
2,The Rolling Stones,1962-08-04,William Morris Hall,South Oxhey,1962,"['Dimples', ""Slippin' and Slidin' (Peepin' and Hidin')"", 'I Got My Brand on You', 'The Moon Is Rising (Blues at Sunrise)', ""I'm Movin' On""]",William Morris Club,"London, England",,,,https://www.setlist.fm/setlist/the-rolling-stones/1962/william-morris-club-london-england-73a85ac1.html,,,United Kingdom
3,The Rolling Stones,1962-09-08,Ealing Jazz Club,London,1962,,,,,,,,,3.5,United Kingdom
4,The Rolling Stones,1962-09-13,Marquee Club,London,1962,,,,,,,,700.0,,United Kingdom
5,The Rolling Stones,1962-09-15,Ealing Jazz Club,London,1962,,,,,,,,,3.5,United Kingdom
6,The Rolling Stones,1962-09-22,Ealing Jazz Club,London,1962,"[""Crawlin' King Snake"", 'Dimples', 'Bo Diddley', ""I Believe I'll Dust My Broom""]",Ealing Jazz Club,"London, England",,,,https://www.setlist.fm/setlist/the-rolling-stones/1962/ealing-jazz-club-london-england-4bd7cb02.html,,3.5,United Kingdom
7,The Rolling Stones,1962-09-27,Marquee Club,London,1962,,,,,,,,700.0,5.0,United Kingdom
8,The Rolling Stones,1962-09-29,Ealing Jazz Club,London,1962,,,,,,,,,3.5,United Kingdom
9,The Rolling Stones,1962-10-04,Marquee Club,London,1962,,,,,,,,700.0,,United Kingdom
10,The Rolling Stones,1962-10-05,Woodstock Hotel,North Cheam,1962,"['Roll Over Beethoven', 'Road Runner', 'Tell Me That You Love Me', 'Tiger in Your Tank', 'Bright Lights, Big City', 'Pretty Thing', 'Nursery Rhyme', ""Confessin' the Blues"", ""You Can't Judge a Book by the Cover"", 'The Sun Is Shining', 'Let Me Love You Baby', ""I'm a Hog for You"", ""Honey, What's Wrong"", 'Too Close Together', 'Johnny B. Goode', 'Beautiful Delilah']",Woodstock Hotel,"London, England",,,,https://www.setlist.fm/setlist/the-rolling-stones/1962/woodstock-hotel-london-england-3d6f5b7.html,,3.5,United Kingdom
11,The Rolling Stones,1962-10-06,Ealing Jazz Club,London,1962,,,,,,,,,,United Kingdom
12,The Rolling Stones,1962-10-13,Ealing Jazz Club,London,1962,,,,,,,,,3.5,United Kingdom
13,The Rolling Stones,1962-10-20,Ealing Jazz Club,London,1962,,,,,,,,,3.5,United Kingdom
14,The Rolling Stones,1962-10-27,Ealing Jazz Club,London,1962,,,,,,,,,3.5,United Kingdom
15,The Rolling Stones,1962-11-06,Ealing Jazz Club,London,1962,,,,,,,,,3.5,United Kingdom
16,The Rolling Stones,1962-11-07,William Morris Hall,South Oxhey,1962,,,,,,,,,3.5,United Kingdom
17,The Rolling Stones,1962-11-13,Ealing Jazz Club,London,1962,,,,,,,,,3.5,United Kingdom
18,The Rolling Stones,1962-11-14,William Morris Hall,South Oxhey,1962,,,,,,,,,3.5,United Kingdom
19,The Rolling Stones,1962-11-18,"Ken Colyer Jazz Club, Studio 51",London,1962,,,,,,,,,,United Kingdom
20,The Rolling Stones,1962-11-20,Ealing Jazz Club,London,1962,,,,,,,,,3.5,United Kingdom
21,The Rolling Stones,1962-11-21,William Morris Hall,South Oxhey,1962,,,,,,,,,3.5,United Kingdom
22,The Rolling Stones,1962-11-23,Red Lion Pub,Sutton,1962,,,,,,,,,2.5,United States
23,The Rolling Stones,1962-11-25,"Ken Colyer Jazz Club, Studio 51",London,1962,,,,,,,,,3.5,United Kingdom
24,The Rolling Stones,1962-11-27,Ealing Jazz Club,London,1962,,,,,,,,,3.5,United Kingdom
25,The Rolling Stones,1962-11-28,William Morris Hall,South Oxhey,1962,,,,,,,,,,United Kingdom
26,The Rolling Stones,1962-11-30,Piccadilly Jazz Club,London,1962,,,,,,,,,3.5,United Kingdom
27,The Rolling Stones,1962-12-02,"Ken Colyer Jazz Club, Studio 51",London,1962,,,,,,,,,3.5,United Kingdom
28,The Rolling Stones,1962-12-04,Ealing Jazz Club,London,1962,"['Sweet Little Sixteen', 'Blues Before Sunrise', 'Soon Forgotten', 'La bamba', 'Smokestack Lightning', 'My Babe']",Ealing Jazz Club,"London, England",,,,https://www.setlist.fm/setlist/the-rolling-stones/1962/ealing-jazz-club-london-england-53d7cb01.html,,3.5,United Kingdom
29,The Rolling Stones,1962-12-05,William Morris Hall,South Oxhey,1962,,,,,,,,,3.5,United Kingdom
30,The Rolling Stones,1962-12-07,Red Lion Pub,Sutton,1962,"[""I'm Talking About You"", 'Bright Lights, Big City', ""I'm a Hog for You"", 'Tiger in Your Tank', 'If You Need Me', ""I Ain't Got No Money"", 'Still a Fool', 'The Sun Is Shining', ""Got My Mo-Jo Working (But It Just Won't Work on You)"", ""I'm Your Hoochie Coochie Man"", 'Blueberry Hill', 'Fortune Teller', 'Sweet Little Sixteen', 'Road Runner', 'Hey Crawdaddy']",Red Lion Pub,"Sutton, England",,,,https://www.setlist.fm/setlist/the-rolling-stones/1962/red-lion-pub-sutton-england-bd6f5b6.html,,2.5,United States
31,The Rolling Stones,1962-12-09,"Ken Colyer Jazz Club, Studio 51",London,1962,,,,,,,,,,United Kingdom
32,The Rolling Stones,1962-12-11,Ealing Jazz Club,London,1962,,,,,,,,,3.5,United Kingdom
33,The Rolling Stones,1962-12-12,Sidcup Art College,Sidcup,1962,,,,,,,,,,United Kingdom
34,The Rolling Stones,1962-12-14,"Ricky Tick Club, Star & Garter Pub",Windsor,1962,,,,,,,,,3.5,Canada
35,The Rolling Stones,1962-12-15,"St Mary's Church Hall, Putney",London,1962,,,,,,,,,3.5,United Kingdom
36,The Rolling Stones,1962-12-18,Ealing Jazz Club,London,1962,,,,,,,,,2.5,United Kingdom
37,The Rolling Stones,1962-12-21,Red Lion Pub,Sutton,1962,,,,,,,,,2.5,United States
